"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"Vozila - SKUPAJ";"SLOVENIJA";"2010";1375556
"Vozila - SKUPAJ";"SLOVENIJA";"2011";1386890
"Vozila - SKUPAJ";"SLOVENIJA";"2012";1393645
"Vozila - SKUPAJ";"SLOVENIJA";"2013";1396691
"Vozila - SKUPAJ";"SLOVENIJA";"2014";1412316
"Vozila - SKUPAJ";"SLOVENIJA";"2015";1437531
"Vozila - SKUPAJ";"SLOVENIJA";"2016";1469501
"Vozila - SKUPAJ";"SLOVENIJA";"2017";1524582
"Vozila - SKUPAJ";"SLOVENIJA";"2018";1568896
"Vozila - SKUPAJ";"SLOVENIJA";"2019";1607854
"Vozila - SKUPAJ";"Ajdovšèina";"2010";15112
"Vozila - SKUPAJ";"Ajdovšèina";"2011";15068
"Vozila - SKUPAJ";"Ajdovšèina";"2012";14635
"Vozila - SKUPAJ";"Ajdovšèina";"2013";14595
"Vozila - SKUPAJ";"Ajdovšèina";"2014";14816
"Vozila - SKUPAJ";"Ajdovšèina";"2015";15097
"Vozila - SKUPAJ";"Ajdovšèina";"2016";15508
"Vozila - SKUPAJ";"Ajdovšèina";"2017";16292
"Vozila - SKUPAJ";"Ajdovšèina";"2018";16918
"Vozila - SKUPAJ";"Ajdovšèina";"2019";17394
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2010";-
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2011";-
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2012";-
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2013";-
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2014";-
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2015";2115
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2016";2229
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2017";2290
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2018";2306
"Vozila - SKUPAJ";"Ankaran/Ancarano";"2019";2322
"Vozila - SKUPAJ";"Apaèe";"2010";1794
"Vozila - SKUPAJ";"Apaèe";"2011";2141
"Vozila - SKUPAJ";"Apaèe";"2012";2418
"Vozila - SKUPAJ";"Apaèe";"2013";2606
"Vozila - SKUPAJ";"Apaèe";"2014";2683
"Vozila - SKUPAJ";"Apaèe";"2015";2733
"Vozila - SKUPAJ";"Apaèe";"2016";2782
