date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2020-09-27,Roland Garros,G,5,C,false,32,F,Rafael Nadal,2,Spain,ESP,2,18,2394,Novak Djokovic,1,Serbia,SRB,1,-18,2442,6-0 6-2 7-5,29-27,51.8% - 48.2%,
2020-01-03,ATP Cup,T,3,H,false,65,F,Novak Djokovic,,Serbia,SRB,2,11,2379,Rafael Nadal,,Spain,ESP,1,-12,2418,6-2 7-6(4),29-26,52.7% - 47.3%,
2019-05-13,Rome Masters,M,3,C,false,47,F,Rafael Nadal,2,Spain,ESP,2,14,2365,Novak Djokovic,1,Serbia,SRB,1,-13,2403,6-0 4-6 6-1,28-26,51.9% - 48.1%,
2019-01-14,Australian Open,G,5,H,false,83,F,Novak Djokovic,1,Serbia,SRB,1,17,2407,Rafael Nadal,2,Spain,ESP,2,-17,2419,6-3 6-2 6-3,28-25,52.8% - 47.2%,
2018-07-02,Wimbledon,G,5,G,false,82,SF,Novak Djokovic,12,Serbia,SRB,21,18,2323,Rafael Nadal,2,Spain,ESP,1,-18,2424,6-4 3-6 7-6(9) 3-6 10-8,27-25,51.9% - 48.1%,
2018-05-14,Rome Masters,M,3,C,false,51,SF,Rafael Nadal,1,Spain,ESP,2,10,2367,Novak Djokovic,11,Serbia,SRB,18,-9,2331,7-6(4) 6-3,26-25,51.0% - 49.0%,
2017-05-08,Madrid Masters,M,3,C,false,65,SF,Rafael Nadal,4,Spain,ESP,5,16,2325,Novak Djokovic,2,Serbia,SRB,2,-16,2478,6-2 6-4,26-24,52.0% - 48.0%,
2016-05-09,Rome Masters,M,3,C,false,47,QF,Novak Djokovic,1,Serbia,SRB,1,3,2621,Rafael Nadal,5,Spain,ESP,5,-3,2336,7-5 7-6(4),26-23,53.1% - 46.9%,
2016-03-07,Indian Wells Masters,M,3,H,false,44,SF,Novak Djokovic,1,Serbia,SRB,1,3,2615,Rafael Nadal,4,Spain,ESP,5,-3,2296,7-6(5) 6-2,25-23,52.1% - 47.9%,
2016-01-04,Doha,B,3,H,false,54,F,Novak Djokovic,1,Serbia,SRB,1,4,2605,Rafael Nadal,2,Spain,ESP,5,-3,2329,6-1 6-2,24-23,51.1% - 48.9%,
2015-11-15,Tour Finals,F,3,H,true,67,SF,Novak Djokovic,1,Serbia,SRB,1,4,2591,Rafael Nadal,5,Spain,ESP,5,-4,2329,6-3 6-3,23-23,50.0% - 50.0%,
2015-10-05,Beijing,A,3,H,false,60,F,Novak Djokovic,1,Serbia,SRB,1,4,2576,Rafael Nadal,3,Spain,ESP,8,-4,2291,6-2 6-2,22-23,48.9% - 51.1%,
2015-05-24,Roland Garros,G,5,C,false,46,QF,Novak Djokovic,1,Serbia,SRB,1,6,2581,Rafael Nadal,6,Spain,ESP,7,-5,2342,7-5 6-3 6-1,21-23,47.7% - 52.3%,
2015-04-12,Monte Carlo Masters,M,3,C,false,34,SF,Novak Djokovic,1,Serbia,SRB,1,6,2555,Rafael Nadal,3,Spain,ESP,5,-5,2357,6-3 6-3,20-23,46.5% - 53.5%,
2014-05-26,Roland Garros,G,5,C,false,40,F,Rafael Nadal,1,Spain,ESP,1,19,2484,Novak Djokovic,2,Serbia,SRB,2,-20,2552,3-6 7-5 6-2 6-4,19-23,45.2% - 54.8%,
2014-05-11,Rome Masters,M,3,C,false,43,F,Novak Djokovic,2,Serbia,SRB,2,11,2529,Rafael Nadal,1,Spain,ESP,1,-11,2479,4-6 6-3 6-3,19-22,46.3% - 53.7%,
2014-03-19,Miami Masters,M,3,H,false,66,F,Novak Djokovic,2,Serbia,SRB,2,11,2526,Rafael Nadal,1,Spain,ESP,1,-11,2499,6-3 6-3,18-22,45.0% - 55.0%,
2013-11-04,Tour Finals,F,3,H,true,76,F,Novak Djokovic,2,Serbia,SRB,2,14,2521,Rafael Nadal,1,Spain,ESP,1,-13,2529,6-3 6-4,17-22,43.6% - 56.4%,
2013-09-30,Beijing,A,3,H,false,51,F,Novak Djokovic,1,Serbia,SRB,1,13,2461,Rafael Nadal,2,Spain,ESP,2,-13,2556,6-3 6-4,16-22,42.1% - 57.9%,
2013-08-26,US Open,G,5,H,false,54,F,Rafael Nadal,2,Spain,ESP,2,12,2539,Novak Djokovic,1,Serbia,SRB,1,-12,2464,6-2 3-6 6-4 6-1,15-22,40.5% - 59.5%,
2013-08-05,Canada Masters,M,3,H,false,53,SF,Rafael Nadal,4,Spain,ESP,4,11,2506,Novak Djokovic,1,Serbia,SRB,1,-10,2479,6-4 3-6 7-6(2),15-21,41.7% - 58.3%,
2013-05-27,Roland Garros,G,5,C,false,42,SF,Rafael Nadal,3,Spain,ESP,4,14,2506,Novak Djokovic,1,Serbia,SRB,1,-13,2491,6-4 3-6 6-1 6-7(3) 9-7,15-20,42.9% - 57.1%,
2013-04-14,Monte Carlo Masters,M,3,C,false,25,F,Novak Djokovic,1,Serbia,SRB,1,11,2507,Rafael Nadal,3,Spain,ESP,5,-11,2466,6-2 7-6(1),15-19,44.1% - 55.9%,
2012-05-27,Roland Garros,G,5,C,false,40,F,Rafael Nadal,2,Spain,ESP,2,17,2462,Novak Djokovic,1,Serbia,SRB,1,-17,2478,6-4 6-3 2-6 7-5,14-19,42.4% - 57.6%,
2012-05-13,Rome Masters,M,3,C,false,32,F,Rafael Nadal,2,Spain,ESP,3,14,2430,Novak Djokovic,1,Serbia,SRB,1,-14,2469,7-5 6-3,14-18,43.8% - 56.3%,
2012-04-15,Monte Carlo Masters,M,3,C,false,31,F,Rafael Nadal,2,Spain,ESP,2,15,2404,Novak Djokovic,1,Serbia,SRB,1,-15,2482,6-3 6-1,14-17,45.2% - 54.8%,
2012-01-16,Australian Open,G,5,H,false,46,F,Novak Djokovic,1,Serbia,SRB,1,13,2467,Rafael Nadal,2,Spain,ESP,2,-14,2407,5-7 6-4 6-2 6-7(5) 7-5,14-16,46.7% - 53.3%,
2011-08-29,US Open,G,5,H,false,49,F,Novak Djokovic,1,Serbia,SRB,1,13,2509,Rafael Nadal,2,Spain,ESP,2,-13,2435,6-2 6-4 6-7(3) 6-1,13-16,44.8% - 55.2%,
2011-06-20,Wimbledon,G,5,G,false,80,F,Novak Djokovic,2,Serbia,SRB,2,15,2482,Rafael Nadal,1,Spain,ESP,1,-15,2461,6-4 6-1 1-6 6-3,12-16,42.9% - 57.1%,
2011-05-08,Rome Masters,M,3,C,false,38,F,Novak Djokovic,2,Serbia,SRB,2,11,2470,Rafael Nadal,1,Spain,ESP,1,-11,2430,6-4 6-4,11-16,40.7% - 59.3%,
2011-05-01,Madrid Masters,M,3,C,false,53,F,Novak Djokovic,2,Serbia,SRB,2,12,2446,Rafael Nadal,1,Spain,ESP,1,-12,2434,7-5 6-4,10-16,38.5% - 61.5%,
2011-03-23,Miami Masters,M,3,H,false,55,F,Novak Djokovic,2,Serbia,SRB,2,11,2424,Rafael Nadal,1,Spain,ESP,1,-11,2399,4-6 6-3 7-6(4),9-16,36.0% - 64.0%,
2011-03-10,Indian Wells Masters,M,3,H,false,54,F,Novak Djokovic,3,Serbia,SRB,3,12,2403,Rafael Nadal,1,Spain,ESP,1,-12,2391,4-6 6-3 6-2,8-16,33.3% - 66.7%,
2010-11-21,Tour Finals,F,3,H,true,90,RR,Rafael Nadal,,Spain,ESP,1,7,2405,Novak Djokovic,,Serbia,SRB,3,-8,2302,7-5 6-2,7-16,30.4% - 69.6%,
2010-08-30,US Open,G,5,H,false,65,F,Rafael Nadal,1,Spain,ESP,1,11,2413,Novak Djokovic,3,Serbia,SRB,3,-12,2309,6-4 5-7 6-4 6-2,7-15,31.8% - 68.2%,
2009-11-22,Tour Finals,F,3,H,true,94,RR,Novak Djokovic,,Serbia,SRB,3,11,2351,Rafael Nadal,,Spain,ESP,2,-12,2372,7-6(5) 6-3,7-14,33.3% - 66.7%,
2009-11-08,Paris Masters,M,3,H,true,85,SF,Novak Djokovic,3,Serbia,SRB,3,13,2341,Rafael Nadal,2,Spain,ESP,2,-13,2402,6-2 6-3,6-14,30.0% - 70.0%,
2009-08-16,Cincinnati Masters,M,3,H,false,85,SF,Novak Djokovic,4,Serbia,SRB,4,16,2273,Rafael Nadal,2,Spain,ESP,3,-16,2441,6-1 6-4,5-14,26.3% - 73.7%,
2009-05-10,Madrid Masters,M,3,C,false,56,SF,Rafael Nadal,1,Spain,ESP,1,6,2481,Novak Djokovic,3,Serbia,SRB,4,-6,2310,3-6 7-6(5) 7-6(9),4-14,22.2% - 77.8%,
2009-04-27,Rome Masters,M,3,C,false,33,F,Rafael Nadal,1,Spain,ESP,1,7,2470,Novak Djokovic,3,Serbia,SRB,3,-7,2303,7-6(2) 6-2,4-13,23.5% - 76.5%,
2009-04-12,Monte Carlo Masters,M,3,C,false,17,F,Rafael Nadal,1,Spain,ESP,1,7,2446,Novak Djokovic,3,Serbia,SRB,3,-7,2283,6-3 2-6 6-1,4-12,25.0% - 75.0%,
