name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,16,2005-2020,W,W,75-8,8,90.4%
Roland Garros,16,2005-2020,W,F,74-15,1,83.1%
US Open,15,"2005-2016, 2018-2020",W,R16,75-12,3,86.2%
Wimbledon,15,2005-2019,W,W,72-10,5,87.8%
Tour Finals,13,"2007-2016, 2018-2020",W,SF,38-16,5,70.4%
Canada Masters,11,"2007-2016, 2018",W,R16,37-7,4,84.1%
Cincinnati Masters,14,"2005-2015, 2018-2020",W,W,40-12,2,76.9%
Hamburg,3,2006-2008,SF,SF,6-3,0,66.7%
Indian Wells Masters,14,2006-2019,W,R32,50-9,5,84.7%
Madrid Masters,11,"2006-2009, 2011-2013, 2016-2019",W,W,28-8,3,77.8%
Miami Masters,13,"2006-2016, 2018-2019",W,R16,44-7,6,86.3%
Monte Carlo Masters,13,"2006-2010, 2012-2019",W,QF,34-11,2,75.6%
Paris Masters,14,"2005-2016, 2018-2019",W,W,37-8,5,82.2%
Rome Masters,14,2007-2020,W,W,55-9,5,85.9%
Shanghai Masters,9,"2009-2010, 2012-2016, 2018-2019",W,QF,34-5,4,87.2%
Olympics,3,"2008, 2012, 2016",BR,R64,9-4,0,69.2%
London,4,"2007-2008, 2010, 2018",F,F,10-4,0,71.4%
Acapulco,1,2017,QF,QF,2-1,0,66.7%
Barcelona,2,"2006, 2018",R32,R32,0-2,0,0.0%
Basel,3,2009-2011,W,SF,12-2,1,85.7%
Beijing,6,"2009-2010, 2012-2015",W,W,29-0,6,100.0%
Dubai,11,"2007-2016, 2020",W,W,41-6,5,87.2%
Rotterdam,3,"2006-2007, 2010",SF,SF,7-3,0,70.0%
Tokyo,1,2019,W,W,5-0,1,100.0%
Vienna,3,"2006-2007, 2020",W,QF,8-2,1,80.0%
Adelaide,2,"2007, 2009",W,R32,5-1,1,83.3%
Amersfoort,1,2006,W,W,5-0,1,100.0%
Bangkok,2,"2004, 2008",F,F,3-2,0,60.0%
Belgrade,3,2009-2011,W,W,8-1,2,88.9%
Bucharest,1,2004,R16,R16,1-1,0,50.0%
Doha,4,"2015-2017, 2019",W,SF,15-2,2,88.2%
Eastbourne,1,2017,W,W,4-0,1,100.0%
Estoril,1,2007,W,W,5-0,1,100.0%
Halle,1,2009,F,F,4-1,0,80.0%
Marseille,3,2007-2009,SF,SF,4-3,0,57.1%
Metz,1,2006,W,W,5-0,1,100.0%
Montpellier,1,2005,R16,R16,1-1,0,50.0%
S-Hertogenbosch,1,2006,R16,R16,1-1,0,50.0%
Sydney Outdoor,1,2009,SF,SF,2-1,0,66.7%
Umag,4,2004-2007,F,R16,6-4,0,60.0%
Valencia,1,2005,R32,R32,0-1,0,0.0%
Zagreb,1,2006,SF,SF,3-1,0,75.0%
