date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2020-01-20,Australian Open,G,5,H,false,71,SF,Novak Djokovic,2,Serbia,SRB,2,12,2401,Roger Federer,3,Switzerland,SUI,3,-11,2339,7-6(1) 6-4 6-3,27-23,54.0% - 46.0%,
2019-11-11,Tour Finals,F,3,H,true,98,RR,Roger Federer,3,Switzerland,SUI,3,12,2334,Novak Djokovic,2,Serbia,SRB,2,-12,2371,6-4 6-3,26-23,53.1% - 46.9%,
2019-07-01,Wimbledon,G,5,G,false,76,F,Novak Djokovic,1,Serbia,SRB,1,16,2394,Roger Federer,2,Switzerland,SUI,3,-16,2394,7-6(5) 1-6 7-6(4) 4-6 13-12,26-22,54.2% - 45.8%,
2018-10-29,Paris Masters,M,3,H,true,75,SF,Novak Djokovic,2,Serbia,SRB,2,10,2416,Roger Federer,3,Switzerland,SUI,3,-10,2392,7-6(6) 5-7 7-6(3),25-22,53.2% - 46.8%,
2018-08-13,Cincinnati Masters,M,3,H,false,72,F,Novak Djokovic,10,Serbia,SRB,10,15,2352,Roger Federer,2,Switzerland,SUI,2,-15,2416,6-4 6-4,24-22,52.2% - 47.8%,
2016-01-18,Australian Open,G,5,H,false,75,SF,Novak Djokovic,1,Serbia,SRB,1,8,2614,Roger Federer,3,Switzerland,SUI,3,-8,2450,6-1 6-2 3-6 6-3,23-22,51.1% - 48.9%,
2015-11-15,Tour Finals,F,3,H,true,67,F,Novak Djokovic,1,Serbia,SRB,1,8,2595,Roger Federer,3,Switzerland,SUI,3,-9,2459,6-3 6-4,22-22,50.0% - 50.0%,
2015-11-15,Tour Finals,F,3,H,true,67,RR,Roger Federer,3,Switzerland,SUI,3,16,2431,Novak Djokovic,1,Serbia,SRB,1,-16,2605,7-5 6-2,21-22,48.8% - 51.2%,
2015-08-31,US Open,G,5,H,false,68,F,Novak Djokovic,1,Serbia,SRB,1,11,2561,Roger Federer,2,Switzerland,SUI,2,-12,2458,6-4 5-7 6-4 6-4,21-21,50.0% - 50.0%,
2015-08-16,Cincinnati Masters,M,3,H,false,75,F,Roger Federer,2,Switzerland,SUI,3,17,2420,Novak Djokovic,1,Serbia,SRB,1,-17,2571,7-6(1) 6-3,20-21,48.8% - 51.2%,
2015-06-29,Wimbledon,G,5,G,false,86,F,Novak Djokovic,1,Serbia,SRB,1,9,2574,Roger Federer,2,Switzerland,SUI,2,-9,2412,7-6(1) 6-7(10) 6-4 6-3,20-20,50.0% - 50.0%,
2015-05-10,Rome Masters,M,3,C,false,60,F,Novak Djokovic,1,Serbia,SRB,1,6,2572,Roger Federer,2,Switzerland,SUI,2,-6,2397,6-4 6-3,19-20,48.7% - 51.3%,
2015-03-12,Indian Wells Masters,M,3,H,false,64,F,Novak Djokovic,1,Serbia,SRB,1,8,2533,Roger Federer,2,Switzerland,SUI,2,-8,2417,6-3 6-7(5) 6-2,18-20,47.4% - 52.6%,
2015-02-23,Dubai,A,3,H,false,54,F,Roger Federer,2,Switzerland,SUI,2,15,2388,Novak Djokovic,1,Serbia,SRB,1,-15,2540,6-3 7-5,17-20,45.9% - 54.1%,
2014-11-09,Tour Finals,F,3,H,true,52,F,Novak Djokovic,1,Serbia,SRB,1,4,2530,Roger Federer,2,Switzerland,SUI,2,-5,2413,W/O,17-19,47.2% - 52.8%,W/O
