name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,16,2005-2020,W,W,75-8,8,90.4%
Roland Garros,16,2005-2020,W,F,74-15,1,83.1%
US Open,15,"2005-2016, 2018-2020",W,R16,75-12,3,86.2%
Wimbledon,15,2005-2019,W,W,72-10,5,87.8%
Tour Finals,13,"2007-2016, 2018-2020",W,SF,38-16,5,70.4%
Canada Masters,11,"2007-2016, 2018",W,R16,37-7,4,84.1%
Cincinnati Masters,14,"2005-2015, 2018-2020",W,W,40-12,2,76.9%
Hamburg,3,2006-2008,SF,SF,6-3,0,66.7%
Indian Wells Masters,14,2006-2019,W,R32,50-9,5,84.7%
Madrid Masters,11,"2006-2009, 2011-2013, 2016-2019",W,W,28-8,3,77.8%
Miami Masters,13,"2006-2016, 2018-2019",W,R16,44-7,6,86.3%
Monte Carlo Masters,13,"2006-2010, 2012-2019",W,QF,34-11,2,75.6%
Paris Masters,14,"2005-2016, 2018-2019",W,W,37-8,5,82.2%
Rome Masters,14,2007-2020,W,W,55-9,5,85.9%
Shanghai Masters,9,"2009-2010, 2012-2016, 2018-2019",W,QF,34-5,4,87.2%
