id,name,value,details_0
MastersTitles,Most Masters Titles,36,
BigTitles,"Most Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",58,
HardGrandSlamTitles,Most Hard Grand Slam Titles,11,
HardMastersTitles,Most Hard Masters Titles,26,
HardBigTitles,"Most Hard Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",42,
SeasonMastersTitles,Most Masters Titles in Single Season,6,2015
SeasonBigTitles,"Most Big Titles in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",10,2015
DifferentGrandSlamTitles,Most Different Grand Slam Titles,4,
DifferentMastersSlotTitles,Most Different Masters Slot Titles,9,
MastersTitlesDifficultyAdjusted,Most Masters Titles Adjusted by Difficulty,39.6,36
HardGrandSlamTitlesDifficultyAdjusted,Most Hard Grand Slam Titles Adjusted by Difficulty,12.58,11
HardMastersTitlesDifficultyAdjusted,Most Hard Masters Titles Adjusted by Difficulty,28.96,26
SeasonMastersTitlesDifficultyAdjusted,Most Masters Titles in Single Season Adjusted by Difficulty,6.95,2015 - 6
MastersFinals,Most Masters Finals,52,
HardGrandSlamFinals,Most Hard Grand Slam Finals,16,
