season,date,name,level,surface,indoor,speed,drawType,drawSize,participation,strength,averageEloRating,result
2019,2019-10-21,Basel,A,H,true,85,KO,32,0.47163695299837927,1570,2009,W
2019,2019-06-17,Halle,A,G,false,97,KO,32,0.42544570502431117,1561,2006,W
2019,2019-03-18,Miami Masters,M,H,false,57,KO,128,0.8293577981651377,2286,2059,W
2019,2019-02-25,Dubai,A,H,false,68,KO,32,0.43841166936790926,1636,2030,W
2018,2018-10-22,Basel,A,H,true,56,KO,32,0.4222042139384117,1524,1994,W
2018,2018-06-11,Stuttgart,B,G,false,90,KO,28,0.28313253012048195,1372,1972,W
2018,2018-02-12,Rotterdam,A,H,true,71,KO,32,0.45786061588330634,1666,2040,W
2018,2018-01-15,Australian Open,G,H,false,65,KO,128,0.9459776864357017,3124,2087,W
2017,2017-10-23,Basel,A,H,true,56,KO,32,0.38168557536466774,1595,2017,W
2017,2017-10-09,Shanghai Masters,M,H,false,99,KO,56,0.7576374745417516,2131,2079,W
2017,2017-07-03,Wimbledon,G,G,false,78,KO,128,0.9177921315325895,3225,2106,W
2017,2017-06-19,Halle,A,G,false,80,KO,32,0.43030794165316044,1656,2037,W
2017,2017-03-20,Miami Masters,M,H,false,49,KO,96,0.7951070336391437,2359,2077,W
2017,2017-03-06,Indian Wells Masters,M,H,false,53,KO,96,0.8972477064220183,2512,2115,W
2017,2017-01-16,Australian Open,G,H,false,68,KO,128,0.9718144450968879,3239,2109,W
