name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,21,2000-2020,W,SF,102-15,6,87.2%
Roland Garros,18,"1999-2015, 2019",W,SF,70-17,1,80.5%
US Open,19,"2000-2015, 2017-2019",W,QF,89-14,5,86.4%
Wimbledon,21,1999-2019,W,F,101-13,8,88.6%
Tour Finals,17,"2002-2015, 2017-2019",W,SF,59-17,6,77.6%
Hamburg,9,"2000-2005, 2007-2008, 2013",W,SF,32-5,4,86.5%
Canada Masters,12,"2000, 2002-2004, 2006-2011, 2014, 2017",W,F,35-10,2,77.8%
Cincinnati Masters,17,"2000, 2002-2015, 2018-2019",W,R16,47-10,7,82.5%
Indian Wells Masters,18,"2001-2015, 2017-2019",W,F,66-13,5,83.5%
Madrid Masters,12,"2002-2003, 2006-2013, 2015, 2019",W,QF,37-9,3,80.4%
Miami Masters,18,"1999-2012, 2014, 2017-2019",W,W,56-14,4,80.0%
Monte Carlo Masters,13,"1999-2002, 2005-2009, 2011, 2014-2016",F,QF,30-13,0,69.8%
Paris Masters,13,"2000-2003, 2007-2011, 2013-2015, 2018",W,SF,23-11,1,67.6%
Rome Masters,17,"2000-2004, 2006-2016, 2019",F,QF,34-16,0,68.0%
Shanghai Masters,8,"2010, 2012-2015, 2017-2019",W,QF,23-6,2,79.3%
Stuttgart Masters,2,2000-2001,R32,R32,1-2,0,33.3%
Olympics,4,"2000, 2004, 2008, 2012",S,S,13-5,0,72.2%
Basel,19,"1998-2003, 2006-2015, 2017-2019",W,W,75-9,10,89.3%
Halle,17,"2000-2006, 2008, 2010, 2012-2019",W,W,68-7,10,90.7%
Milan,3,2000-2002,W,F,11-2,1,84.6%
Barcelona,1,2000,R64,R64,0-1,0,0.0%
Dubai,14,"2002-2008, 2011-2015, 2017, 2019",W,W,53-6,8,89.8%
Indianapolis,1,2000,R64,R64,0-1,0,0.0%
Rotterdam,9,"1999, 2001-2005, 2012-2013, 2018",W,W,28-6,3,82.4%
Tokyo,1,2006,W,W,5-0,1,100.0%
Vienna,5,1999-2003,W,W,18-3,2,85.7%
Washington,1,1999,R64,R64,0-1,0,0.0%
Adelaide,4,"2000, 2014-2016",W,F,11-3,1,78.6%
Auckland,1,2000,R32,R32,0-1,0,0.0%
Bangkok,2,2004-2005,W,W,10-0,2,100.0%
Copenhagen,1,2000,SF,SF,3-1,0,75.0%
Doha,7,"2003, 2005-2006, 2009-2012",W,SF,26-3,3,89.7%
Eastbourne,1,2000,R32,R32,0-1,0,0.0%
Estoril,2,"2008, 2010",W,SF,7-1,1,87.5%
Gstaad,8,"1998-2004, 2013",W,R16,9-7,1,56.3%
Istanbul,1,2015,W,W,4-0,1,100.0%
London,1,1999,R64,R64,0-1,0,0.0%
Long Island,1,2002,R32,R32,0-1,0,0.0%
Marseille,4,"1999-2001, 2003",W,W,14-3,1,82.4%
Montpellier,2,1999-2000,R16,R16,2-2,0,50.0%
Moscow,2,2001-2002,QF,QF,2-2,0,50.0%
Munich,1,2003,W,W,5-0,1,100.0%
Poertschach,1,2000,R32,R32,0-1,0,0.0%
S-Hertogenbosch,2,2001-2002,SF,QF,5-2,0,71.4%
Stockholm,2,"2000, 2010",W,W,5-1,1,83.3%
Stuttgart,3,2016-2018,W,W,6-2,1,75.0%
Sydney Outdoor,3,2001-2003,W,R32,7-2,1,77.8%
Tashkent,1,1999,R16,R16,1-1,0,50.0%
Toulouse,2,1998-1999,QF,R16,3-2,0,60.0%
