date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct
2015-08-16,Cincinnati Masters,M,3,H,false,75,SF,Roger Federer,2,Switzerland,SUI,3,11,2409,Andy Murray,3,United Kingdom,GBR,2,-11,2407,6-4 7-6(6),11-14,44.0% - 56.0%
2015-06-29,Wimbledon,G,5,G,false,86,SF,Roger Federer,2,Switzerland,SUI,2,14,2398,Andy Murray,3,United Kingdom,GBR,3,-14,2384,7-5 7-5 6-4,11-13,45.8% - 54.2%
2014-11-09,Tour Finals,F,3,H,true,52,RR,Roger Federer,2,Switzerland,SUI,2,9,2394,Andy Murray,5,United Kingdom,GBR,6,-9,2320,6-0 6-1,11-12,47.8% - 52.2%
2014-08-10,Cincinnati Masters,M,3,H,false,71,QF,Roger Federer,2,Switzerland,SUI,3,8,2351,Andy Murray,8,United Kingdom,GBR,9,-8,2277,6-3 7-5,11-11,50.0% - 50.0%
2014-01-13,Australian Open,G,5,H,false,70,QF,Roger Federer,6,Switzerland,SUI,6,16,2312,Andy Murray,4,United Kingdom,GBR,4,-16,2357,6-3 6-4 6-7(6) 6-3,11-10,52.4% - 47.6%
2013-01-14,Australian Open,G,5,H,false,62,SF,Andy Murray,3,United Kingdom,GBR,3,17,2381,Roger Federer,2,Switzerland,SUI,2,-17,2443,6-4 6-7(5) 6-3 6-7(2) 6-2,11-9,55.0% - 45.0%
2012-11-05,Tour Finals,F,3,H,true,77,SF,Roger Federer,2,Switzerland,SUI,2,10,2433,Andy Murray,3,United Kingdom,GBR,3,-10,2375,7-6(5) 6-2,10-9,52.6% - 47.4%
2012-10-07,Shanghai Masters,M,3,H,false,66,SF,Andy Murray,3,United Kingdom,GBR,3,14,2385,Roger Federer,1,Switzerland,SUI,1,-14,2464,6-4 6-4,10-8,55.6% - 44.4%
2012-07-25,London Olympics,O,5,G,false,87,F,Andy Murray,3,United Kingdom,GBR,4,17,2353,Roger Federer,1,Switzerland,SUI,1,-17,2474,6-2 6-1 6-4,9-8,52.9% - 47.1%
2012-06-25,Wimbledon,G,5,G,false,80,F,Roger Federer,3,Switzerland,SUI,3,11,2453,Andy Murray,4,United Kingdom,GBR,4,-11,2338,4-6 7-5 6-3 6-4,8-8,50.0% - 50.0%
2012-02-27,Dubai,A,3,H,false,69,F,Roger Federer,2,Switzerland,SUI,3,9,2421,Andy Murray,3,United Kingdom,GBR,4,-9,2369,7-5 6-4,8-7,53.3% - 46.7%
2010-11-21,Tour Finals,F,3,H,true,90,RR,Roger Federer,,Switzerland,SUI,2,9,2373,Andy Murray,,United Kingdom,GBR,5,-8,2279,6-4 6-2,8-6,57.1% - 42.9%
2010-10-10,Shanghai Masters,M,3,H,false,62,F,Andy Murray,4,United Kingdom,GBR,4,16,2280,Roger Federer,3,Switzerland,SUI,3,-15,2364,6-3 6-2,8-5,61.5% - 38.5%
2010-08-09,Canada Masters,M,3,H,false,68,F,Andy Murray,4,United Kingdom,GBR,4,14,2290,Roger Federer,3,Switzerland,SUI,3,-14,2338,7-5 7-5,7-5,58.3% - 41.7%
2010-01-18,Australian Open,G,5,H,false,52,F,Roger Federer,1,Switzerland,SUI,1,14,2400,Andy Murray,5,United Kingdom,GBR,4,-14,2369,6-3 6-4 7-6(11),6-5,54.5% - 45.5%
