season,date,name,level,surface,indoor,speed,drawType,drawSize,participation,strength,averageEloRating,result
2019,2019-10-14,Antwerp,B,H,true,78,KO,32,0.23493975903614459,1309,1950,W
2017,2017-02-27,Dubai,A,H,false,57,KO,32,0.43841166936790926,1656,2037,W
2016,2016-11-14,Tour Finals,F,H,true,68,RR,8,0.9829642248722317,1160,2291,W
2016,2016-10-31,Paris Masters,M,H,true,77,KO,48,0.8184377199155525,2208,2121,W
2016,2016-10-24,Vienna,A,H,true,65,KO,32,0.4821717990275527,1671,2042,W
2016,2016-10-10,Shanghai Masters,M,H,false,63,KO,56,0.8540393754243042,2316,2129,W
2016,2016-10-03,Beijing,A,H,false,59,KO,32,0.5680713128038898,1734,2062,W
2016,2016-08-08,Rio Olympics,O,H,false,53,KO,96,0.5847066578773896,2188,2077,G
2016,2016-06-27,Wimbledon,G,G,false,76,KO,128,0.9412800939518496,3247,2110,W
2016,2016-06-13,Queen's Club,A,G,false,94,KO,32,0.5129659643435981,1736,2063,W
2016,2016-05-09,Rome Masters,M,C,false,47,KO,56,0.8520027155465038,2346,2137,W
2015,2015-08-10,Canada Masters,M,H,false,71,KO,56,0.8323150033944331,2266,2115,W
2015,2015-06-15,Queen's Club,A,G,false,100,KO,32,0.5850891410048622,1766,2073,W
2015,2015-05-03,Madrid Masters,M,C,false,63,KO,56,0.8621860149355057,2253,2112,W
2015,2015-04-27,Munich,B,C,false,57,KO,28,0.2641996557659208,1275,1939,W
