name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,13,"2006-2017, 2019",F,R128,48-13,0,78.7%
Roland Garros,11,"2006, 2008-2012, 2014-2017, 2020",F,R128,39-11,0,78.0%
US Open,14,"2005-2016, 2018, 2020",W,R64,46-13,1,78.0%
Wimbledon,12,"2005-2006, 2008-2017",W,QF,57-10,2,85.1%
Tour Finals,8,"2008-2012, 2014-2016",W,W,16-11,1,59.3%
Canada Masters,10,2006-2015,W,W,26-6,3,81.3%
Cincinnati Masters,15,"2005-2016, 2018-2020",W,R16,33-13,2,71.7%
Hamburg,3,2006-2008,R16,R16,3-3,0,50.0%
Indian Wells Masters,12,2006-2017,F,R64,25-12,0,67.6%
Madrid Masters,11,"2006-2011, 2013-2017",W,R16,27-9,2,75.0%
Miami Masters,11,2006-2016,W,R32,28-9,2,75.7%
Monte Carlo Masters,9,"2006, 2008-2013, 2016-2017",SF,R16,15-9,0,62.5%
Paris Masters,10,"2006-2012, 2014-2016",W,W,21-9,1,70.0%
Rome Masters,12,2006-2017,W,R32,14-10,1,58.3%
Shanghai Masters,7,"2010-2012, 2014-2016, 2019",W,R32,23-4,3,85.2%
