id,name,value,details_0,details_1,details_2,details_3,details_4,details_5,details_6,details_7,details_8,details_9,details_10,details_11,details_12,details_13,details_14,details_15
OlympicsTitles,Most Olympics Titles,2,,,,,,,,,,,,,,,,
OlympicsMedals,Most Olympics Medals,2,,,,,,,,,,,,,,,,
OlympicsTitlesDifficultyAdjusted,Most Olympics Titles Adjusted by Difficulty,2.9,2,,,,,,,,,,,,,,,
OlympicsFinals,Most Olympics Finals,2,,,,,,,,,,,,,,,,
DifferentGrandSlamFinals,Most Different Grand Slam Finals,4,,,,,,,,,,,,,,,,
OlympicsSemiFinals,Most Olympics Semi-Finals,2,,,,,,,,,,,,,,,,
SeasonGrandSlamSemiFinals,Most Grand Slam Semi-Finals in Single Season,4,2011,,,,,,,,,,,,,,,
SeasonGrandSlamQuarterFinals,Most Grand Slam Quarter-Finals in Single Season,4,2011,2012,2014,2016,2011,2012,2014,2016,2011,2012,2014,2016,2011,2012,2014,2016
HardestOlympicsTitle,Hardest Olympics Title,1.882,2012 London Olympics,,,,,,,,,,,,,,,
HardestClayMastersTitle,Hardest Clay Masters Title,1.818,2016 Rome Masters,,,,,,,,,,,,,,,
OlympicsFinalWinningPct,Greatest Olympics Final Winning Pct.,100.00%,2-0/2,,,,,,,,,,,,,,,
OlympicsTitleStreak,Olympics Title Streak,2,2012 London Olympics - 2016 Rio Olympics,,,,,,,,,,,,,,,
OlympicsFinalStreak,Olympics Final Streak,2,2012 London Olympics - 2016 Rio Olympics,,,,,,,,,,,,,,,
OlympicsSemiFinalStreak,Olympics Semi-Final Streak,2,2012 London Olympics - 2016 Rio Olympics,,,,,,,,,,,,,,,
OlympicsQuarterFinalStreak,Olympics Quarter-Final Streak,2,2012 London Olympics - 2016 Rio Olympics,,,,,,,,,,,,,,,
