name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,13,"2006-2017, 2019",F,R128,48-13,0,78.7%
Roland Garros,11,"2006, 2008-2012, 2014-2017, 2020",F,R128,39-11,0,78.0%
US Open,14,"2005-2016, 2018, 2020",W,R64,46-13,1,78.0%
Wimbledon,12,"2005-2006, 2008-2017",W,QF,57-10,2,85.1%
Tour Finals,8,"2008-2012, 2014-2016",W,W,16-11,1,59.3%
Canada Masters,10,2006-2015,W,W,26-6,3,81.3%
Cincinnati Masters,15,"2005-2016, 2018-2020",W,R16,33-13,2,71.7%
Hamburg,3,2006-2008,R16,R16,3-3,0,50.0%
Indian Wells Masters,12,2006-2017,F,R64,25-12,0,67.6%
Madrid Masters,11,"2006-2011, 2013-2017",W,R16,27-9,2,75.0%
Miami Masters,11,2006-2016,W,R32,28-9,2,75.7%
Monte Carlo Masters,9,"2006, 2008-2013, 2016-2017",SF,R16,15-9,0,62.5%
Paris Masters,10,"2006-2012, 2014-2016",W,W,21-9,1,70.0%
Rome Masters,12,2006-2017,W,R32,14-10,1,58.3%
Shanghai Masters,7,"2010-2012, 2014-2016, 2019",W,R32,23-4,3,85.2%
Olympics,3,"2008, 2012, 2016",G,G,12-1,2,92.3%
London,13,"2005-2006, 2008-2018",W,R32,30-7,5,81.1%
Vienna,2,"2014, 2016",W,W,8-0,2,100.0%
Washington,3,"2006, 2015, 2018",F,QF,7-2,0,77.8%
Acapulco,1,2014,SF,SF,3-1,0,75.0%
Barcelona,5,"2005-2006, 2008, 2012, 2017",SF,SF,5-5,0,50.0%
Beijing,4,"2010, 2014, 2016, 2019",W,QF,12-3,1,80.0%
Dubai,6,"2008-2010, 2012, 2015, 2017",W,W,16-4,1,80.0%
Memphis,2,2006-2007,SF,SF,5-2,0,71.4%
Rotterdam,5,"2008-2009, 2011, 2014-2015",W,QF,9-4,1,69.2%
Tokyo,3,"2006, 2011-2012",W,SF,8-2,1,80.0%
Valencia,3,"2009-2010, 2014",W,W,11-1,2,91.7%
Adelaide,4,"2006, 2012-2013, 2019",W,R16,11-2,2,84.6%
Antwerp,1,2019,W,W,5-0,1,100.0%
Auckland,1,2006,R16,R16,1-1,0,50.0%
Bangkok,3,"2005-2006, 2011",W,W,8-2,1,80.0%
Basel,1,2005,QF,QF,2-1,0,66.7%
Cologne,1,2020,R32,R32,0-1,0,0.0%
Doha,5,"2007-2009, 2014, 2017",W,F,19-3,2,86.4%
Eastbourne,2,"2006, 2018",QF,R16,3-2,0,60.0%
Indianapolis,1,2005,R32,R32,1-1,0,50.0%
Las Vegas,1,2006,R32,R32,0-1,0,0.0%
Los Angeles,1,2010,F,F,3-1,0,75.0%
Marseille,1,2008,W,W,5-0,1,100.0%
Metz,1,2007,F,F,4-1,0,80.0%
Moscow,1,2007,R16,R16,1-1,0,50.0%
Munich,1,2015,W,W,4-0,1,100.0%
New York,2,2006-2007,W,W,10-0,2,100.0%
Newport,2,2005-2006,SF,SF,4-2,0,66.7%
Shenzhen,2,"2014, 2018",W,QF,6-1,1,85.7%
St. Petersburg,2,2007-2008,W,W,10-0,2,100.0%
Winston Salem,1,2019,R64,R64,0-1,0,0.0%
Zagreb,1,2006,R32,R32,0-1,0,0.0%
Zhuhai,1,2019,R16,R16,1-1,0,50.0%
