date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2019-07-01,Wimbledon,G,5,G,false,76,SF,Roger Federer,2,Switzerland,SUI,3,17,2377,Rafael Nadal,3,Spain,ESP,2,-16,2422,7-6(3) 1-6 6-3 6-4,24-16,60.0% - 40.0%,
2019-05-27,Roland Garros,G,5,C,false,47,SF,Rafael Nadal,2,Spain,ESP,2,14,2390,Roger Federer,3,Switzerland,SUI,3,-14,2365,6-3 6-4 6-2,24-15,61.5% - 38.5%,
2019-03-04,Indian Wells Masters,M,3,H,false,45,SF,Roger Federer,4,Switzerland,SUI,4,6,2362,Rafael Nadal,2,Spain,ESP,2,-6,2395,W/O,23-15,60.5% - 39.5%,W/O
2017-10-09,Shanghai Masters,M,3,H,false,99,F,Roger Federer,2,Switzerland,SUI,2,11,2434,Rafael Nadal,1,Spain,ESP,1,-10,2385,6-4 6-3,23-15,60.5% - 39.5%,
2017-03-20,Miami Masters,M,3,H,false,49,F,Roger Federer,4,Switzerland,SUI,6,8,2430,Rafael Nadal,5,Spain,ESP,7,-7,2286,6-3 6-4,23-14,62.2% - 37.8%,
2017-03-06,Indian Wells Masters,M,3,H,false,53,R16,Roger Federer,9,Switzerland,SUI,10,7,2394,Rafael Nadal,5,Spain,ESP,6,-6,2274,6-2 6-3,23-13,63.9% - 36.1%,
2017-01-16,Australian Open,G,5,H,false,68,F,Roger Federer,17,Switzerland,SUI,17,12,2396,Rafael Nadal,9,Spain,ESP,9,-11,2288,6-4 3-6 6-1 3-6 6-3,23-12,65.7% - 34.3%,
2015-10-26,Basel,A,3,H,true,72,F,Roger Federer,1,Switzerland,SUI,3,7,2435,Rafael Nadal,3,Spain,ESP,7,-7,2309,6-3 5-7 6-3,23-11,67.6% - 32.4%,
2014-01-13,Australian Open,G,5,H,false,70,SF,Rafael Nadal,1,Spain,ESP,1,7,2526,Roger Federer,6,Switzerland,SUI,6,-7,2328,7-6(4) 6-3 6-3,23-10,69.7% - 30.3%,
2013-11-04,Tour Finals,F,3,H,true,76,SF,Rafael Nadal,1,Spain,ESP,1,5,2524,Roger Federer,6,Switzerland,SUI,7,-6,2318,7-5 6-3,22-10,68.8% - 31.3%,
2013-08-11,Cincinnati Masters,M,3,H,false,69,QF,Rafael Nadal,4,Spain,ESP,3,5,2520,Roger Federer,5,Switzerland,SUI,5,-5,2330,5-7 6-4 6-3,21-10,67.7% - 32.3%,
2013-05-12,Rome Masters,M,3,C,false,48,F,Rafael Nadal,5,Spain,ESP,5,9,2488,Roger Federer,2,Switzerland,SUI,3,-8,2387,6-1 6-3,20-10,66.7% - 33.3%,
2013-03-07,Indian Wells Masters,M,3,H,false,42,QF,Rafael Nadal,5,Spain,ESP,5,9,2435,Roger Federer,2,Switzerland,SUI,2,-10,2405,6-4 6-2,19-10,65.5% - 34.5%,
2012-03-08,Indian Wells Masters,M,3,H,false,47,SF,Roger Federer,3,Switzerland,SUI,3,9,2439,Rafael Nadal,2,Spain,ESP,2,-10,2401,6-3 6-4,18-10,64.3% - 35.7%,
2012-01-16,Australian Open,G,5,H,false,46,SF,Rafael Nadal,2,Spain,ESP,2,17,2390,Roger Federer,3,Switzerland,SUI,3,-16,2433,6-7(5) 6-2 7-6(5) 6-4,18-9,66.7% - 33.3%,
