date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2016-05-02,Madrid Masters,M,3,C,false,69,SF,Andy Murray,2,United Kingdom,GBR,2,10,2371,Rafael Nadal,5,Spain,ESP,5,-10,2337,7-5 6-4,17-7,70.8% - 29.2%,
2016-04-11,Monte Carlo Masters,M,3,C,false,37,SF,Rafael Nadal,5,Spain,ESP,5,14,2292,Andy Murray,2,United Kingdom,GBR,2,-13,2374,2-6 6-4 6-2,17-6,73.9% - 26.1%,
2015-11-15,Tour Finals,F,3,H,true,67,RR,Rafael Nadal,5,Spain,ESP,5,14,2307,Andy Murray,2,United Kingdom,GBR,2,-14,2403,6-4 6-1,16-6,72.7% - 27.3%,
2015-05-03,Madrid Masters,M,3,C,false,63,F,Andy Murray,2,United Kingdom,GBR,3,12,2348,Rafael Nadal,3,Spain,ESP,4,-13,2356,6-3 6-2,15-6,71.4% - 28.6%,
2014-05-26,Roland Garros,G,5,C,false,40,SF,Rafael Nadal,1,Spain,ESP,1,8,2476,Andy Murray,7,United Kingdom,GBR,8,-8,2306,6-3 6-2 6-1,15-5,75.0% - 25.0%,
2014-05-11,Rome Masters,M,3,C,false,43,QF,Rafael Nadal,1,Spain,ESP,1,6,2470,Andy Murray,7,United Kingdom,GBR,8,-5,2291,1-6 6-3 7-5,14-5,73.7% - 26.3%,
2012-03-21,Miami Masters,M,3,H,false,51,SF,Andy Murray,4,United Kingdom,GBR,4,6,2352,Rafael Nadal,2,Spain,ESP,2,-6,2402,W/O,13-5,72.2% - 27.8%,W/O
2011-10-03,Tokyo,A,3,H,false,58,F,Andy Murray,2,United Kingdom,GBR,4,14,2338,Rafael Nadal,1,Spain,ESP,2,-14,2435,3-6 6-2 6-0,13-5,72.2% - 27.8%,
2011-08-29,US Open,G,5,H,false,49,SF,Rafael Nadal,2,Spain,ESP,2,11,2424,Andy Murray,4,United Kingdom,GBR,4,-10,2326,6-4 6-2 3-6 6-2,13-4,76.5% - 23.5%,
2011-06-20,Wimbledon,G,5,G,false,80,SF,Rafael Nadal,1,Spain,ESP,1,8,2453,Andy Murray,4,United Kingdom,GBR,4,-8,2293,5-7 6-2 6-2 6-4,12-4,75.0% - 25.0%,
2011-05-22,Roland Garros,G,5,C,false,46,SF,Rafael Nadal,1,Spain,ESP,1,8,2432,Andy Murray,4,United Kingdom,GBR,4,-8,2260,6-4 7-5 6-4,11-4,73.3% - 26.7%,
2011-04-10,Monte Carlo Masters,M,3,C,false,15,SF,Rafael Nadal,1,Spain,ESP,1,7,2394,Andy Murray,3,United Kingdom,GBR,4,-7,2257,6-4 2-6 6-1,10-4,71.4% - 28.6%,
2010-11-21,Tour Finals,F,3,H,true,90,SF,Rafael Nadal,,Spain,ESP,1,8,2415,Andy Murray,,United Kingdom,GBR,5,-7,2288,7-6(5) 3-6 7-6(6),9-4,69.2% - 30.8%,
2010-08-09,Canada Masters,M,3,H,false,68,SF,Andy Murray,4,United Kingdom,GBR,4,15,2275,Rafael Nadal,1,Spain,ESP,1,-15,2428,6-3 6-4,8-4,66.7% - 33.3%,
2010-06-21,Wimbledon,G,5,G,false,88,SF,Rafael Nadal,2,Spain,ESP,1,10,2407,Andy Murray,4,United Kingdom,GBR,4,-10,2279,6-4 7-6(6) 6-4,8-3,72.7% - 27.3%,
