season,date,name,level,surface,indoor,speed,drawType,drawSize,participation,strength,averageEloRating,result
2020,2020-09-27,Roland Garros,G,C,false,32,KO,128,0.9107457428068115,2966,2057,W
2020,2020-02-24,Acapulco,A,H,false,61,KO,32,0.36385737439222043,1477,1979,W
2019,2019-08-26,US Open,G,H,false,61,KO,128,0.9301233118027011,3024,2068,W
2019,2019-08-05,Canada Masters,M,H,false,68,KO,64,0.781398506449423,2055,2058,W
2019,2019-05-27,Roland Garros,G,C,false,47,KO,128,0.8943041691133294,2994,2063,W
2019,2019-05-13,Rome Masters,M,C,false,47,KO,64,0.8873048200950441,2211,2101,W
2018,2018-08-06,Canada Masters,M,H,false,76,KO,56,0.7949762389680923,2105,2072,W
2018,2018-05-28,Roland Garros,G,C,false,45,KO,128,0.8649442160892542,2958,2056,W
2018,2018-05-14,Rome Masters,M,C,false,51,KO,56,0.8289205702647657,2163,2087,W
2018,2018-04-23,Barcelona,A,C,false,42,KO,48,0.44123856439127374,1805,2008,W
2018,2018-04-16,Monte Carlo Masters,M,C,false,33,KO,56,0.6897488119484046,2062,2060,W
2017,2017-10-02,Beijing,A,H,false,58,KO,32,0.5243111831442464,1677,2043,W
2017,2017-08-28,US Open,G,H,false,55,KO,128,0.806224310041104,3005,2065,W
2017,2017-05-29,Roland Garros,G,C,false,45,KO,128,0.9448032883147387,3191,2100,W
2017,2017-05-08,Madrid Masters,M,C,false,65,KO,56,0.8560760353021045,2297,2124,W
