id,name,value,details_0
GrandSlamTitles,Most Grand Slam Titles,20,
DavisCupTitles,Most Davis Cup Titles,5,
ClayTitles,Most Clay Titles,60,
OutdoorTitles,Most Outdoor Titles,84,
ClayGrandSlamTitles,Most Clay Grand Slam Titles,13,
ClayMastersTitles,Most Clay Masters Titles,25,
ClayBigTitles,"Most Clay Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",38,
TournamentTitles,Most Titles at Single Tournament,13,Roland Garros
TournamentGrandSlamTitles,Most Grand Slam Titles at Single Tournament,13,Roland Garros
TournamentMastersTitles,Most Masters Titles at Single Tournament,11,Monte Carlo Masters
TournamentATP500Titles,Most ATP 500/CS Titles at Single Tournament,11,Barcelona
TournamentSmallTitles,Most Small Titles at Single Tournament,11,Barcelona
DifferentGrandSlamTitles,Most Different Grand Slam Titles,4,
GrandSlamTitlesDifficultyAdjusted,Most Grand Slam Titles Adjusted by Difficulty,21.62,20
ClayGrandSlamTitlesDifficultyAdjusted,Most Clay Grand Slam Titles Adjusted by Difficulty,14.7,13
