date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2019-07-01,Wimbledon,G,5,G,false,76,SF,Roger Federer,2,Switzerland,SUI,3,17,2377,Rafael Nadal,3,Spain,ESP,2,-16,2422,7-6(3) 1-6 6-3 6-4,24-16,60.0% - 40.0%,
2019-05-27,Roland Garros,G,5,C,false,47,SF,Rafael Nadal,2,Spain,ESP,2,14,2390,Roger Federer,3,Switzerland,SUI,3,-14,2365,6-3 6-4 6-2,24-15,61.5% - 38.5%,
2019-03-04,Indian Wells Masters,M,3,H,false,45,SF,Roger Federer,4,Switzerland,SUI,4,6,2362,Rafael Nadal,2,Spain,ESP,2,-6,2395,W/O,23-15,60.5% - 39.5%,W/O
2017-10-09,Shanghai Masters,M,3,H,false,99,F,Roger Federer,2,Switzerland,SUI,2,11,2434,Rafael Nadal,1,Spain,ESP,1,-10,2385,6-4 6-3,23-15,60.5% - 39.5%,
2017-03-20,Miami Masters,M,3,H,false,49,F,Roger Federer,4,Switzerland,SUI,6,8,2430,Rafael Nadal,5,Spain,ESP,7,-7,2286,6-3 6-4,23-14,62.2% - 37.8%,
2017-03-06,Indian Wells Masters,M,3,H,false,53,R16,Roger Federer,9,Switzerland,SUI,10,7,2394,Rafael Nadal,5,Spain,ESP,6,-6,2274,6-2 6-3,23-13,63.9% - 36.1%,
2017-01-16,Australian Open,G,5,H,false,68,F,Roger Federer,17,Switzerland,SUI,17,12,2396,Rafael Nadal,9,Spain,ESP,9,-11,2288,6-4 3-6 6-1 3-6 6-3,23-12,65.7% - 34.3%,
2015-10-26,Basel,A,3,H,true,72,F,Roger Federer,1,Switzerland,SUI,3,7,2435,Rafael Nadal,3,Spain,ESP,7,-7,2309,6-3 5-7 6-3,23-11,67.6% - 32.4%,
2014-01-13,Australian Open,G,5,H,false,70,SF,Rafael Nadal,1,Spain,ESP,1,7,2526,Roger Federer,6,Switzerland,SUI,6,-7,2328,7-6(4) 6-3 6-3,23-10,69.7% - 30.3%,
2013-11-04,Tour Finals,F,3,H,true,76,SF,Rafael Nadal,1,Spain,ESP,1,5,2524,Roger Federer,6,Switzerland,SUI,7,-6,2318,7-5 6-3,22-10,68.8% - 31.3%,
2013-08-11,Cincinnati Masters,M,3,H,false,69,QF,Rafael Nadal,4,Spain,ESP,3,5,2520,Roger Federer,5,Switzerland,SUI,5,-5,2330,5-7 6-4 6-3,21-10,67.7% - 32.3%,
2013-05-12,Rome Masters,M,3,C,false,48,F,Rafael Nadal,5,Spain,ESP,5,9,2488,Roger Federer,2,Switzerland,SUI,3,-8,2387,6-1 6-3,20-10,66.7% - 33.3%,
2013-03-07,Indian Wells Masters,M,3,H,false,42,QF,Rafael Nadal,5,Spain,ESP,5,9,2435,Roger Federer,2,Switzerland,SUI,2,-10,2405,6-4 6-2,19-10,65.5% - 34.5%,
2012-03-08,Indian Wells Masters,M,3,H,false,47,SF,Roger Federer,3,Switzerland,SUI,3,9,2439,Rafael Nadal,2,Spain,ESP,2,-10,2401,6-3 6-4,18-10,64.3% - 35.7%,
2012-01-16,Australian Open,G,5,H,false,46,SF,Rafael Nadal,2,Spain,ESP,2,17,2390,Roger Federer,3,Switzerland,SUI,3,-16,2433,6-7(5) 6-2 7-6(5) 6-4,18-9,66.7% - 33.3%,
2011-11-20,Tour Finals,F,3,H,true,67,RR,Roger Federer,,Switzerland,SUI,4,11,2394,Rafael Nadal,,Spain,ESP,2,-12,2408,6-3 6-0,17-9,65.4% - 34.6%,
2011-05-22,Roland Garros,G,5,C,false,46,F,Rafael Nadal,1,Spain,ESP,1,14,2440,Roger Federer,3,Switzerland,SUI,3,-14,2403,7-5 7-6(3) 5-7 6-1,17-8,68.0% - 32.0%,
2011-05-01,Madrid Masters,M,3,C,false,53,SF,Rafael Nadal,1,Spain,ESP,1,10,2424,Roger Federer,3,Switzerland,SUI,3,-10,2391,5-7 6-1 6-3,16-8,66.7% - 33.3%,
2011-03-23,Miami Masters,M,3,H,false,55,SF,Rafael Nadal,1,Spain,ESP,1,12,2387,Roger Federer,3,Switzerland,SUI,3,-12,2407,6-3 6-2,15-8,65.2% - 34.8%,
2010-11-21,Tour Finals,F,3,H,true,90,F,Roger Federer,,Switzerland,SUI,2,14,2397,Rafael Nadal,,Spain,ESP,1,-14,2423,6-3 3-6 6-1,14-8,63.6% - 36.4%,
2010-05-09,Madrid Masters,M,3,C,false,40,F,Rafael Nadal,2,Spain,ESP,3,12,2374,Roger Federer,1,Switzerland,SUI,1,-12,2364,6-4 7-6(5),14-7,66.7% - 33.3%,
2009-05-10,Madrid Masters,M,3,C,false,56,F,Roger Federer,2,Switzerland,SUI,2,17,2357,Rafael Nadal,1,Spain,ESP,1,-17,2487,6-4 6-4,13-7,65.0% - 35.0%,
2009-01-19,Australian Open,G,5,H,false,53,F,Rafael Nadal,1,Spain,ESP,1,15,2414,Roger Federer,2,Switzerland,SUI,2,-14,2378,7-5 3-6 7-6(3) 3-6 6-2,13-6,68.4% - 31.6%,
2008-06-23,Wimbledon,G,5,G,false,79,F,Rafael Nadal,2,Spain,ESP,2,16,2426,Roger Federer,1,Switzerland,SUI,1,-16,2422,6-4 6-4 6-7(5) 6-7(8) 9-7,12-6,66.7% - 33.3%,
2008-05-25,Roland Garros,G,5,C,false,41,F,Rafael Nadal,2,Spain,ESP,2,17,2380,Roger Federer,1,Switzerland,SUI,1,-18,2417,6-1 6-3 6-0,11-6,64.7% - 35.3%,
2008-05-11,Hamburg Masters,M,3,C,false,29,F,Rafael Nadal,2,Spain,ESP,2,15,2342,Roger Federer,1,Switzerland,SUI,1,-15,2416,7-5 6-7(3) 6-3,10-6,62.5% - 37.5%,
2008-04-20,Monte Carlo Masters,M,3,C,false,20,F,Rafael Nadal,2,Spain,ESP,2,17,2311,Roger Federer,1,Switzerland,SUI,1,-17,2441,7-5 7-5,9-6,60.0% - 40.0%,
2007-11-12,Masters Cup,F,3,H,true,55,SF,Roger Federer,,Switzerland,SUI,1,7,2471,Rafael Nadal,,Spain,ESP,2,-8,2335,6-4 6-1,8-6,57.1% - 42.9%,
2007-06-25,Wimbledon,G,5,G,false,73,F,Roger Federer,1,Switzerland,SUI,1,13,2491,Rafael Nadal,2,Spain,ESP,2,-13,2410,7-6(7) 4-6 7-6(3) 2-6 6-2,8-5,61.5% - 38.5%,
2007-05-28,Roland Garros,G,5,C,false,38,F,Rafael Nadal,2,Spain,ESP,2,22,2381,Roger Federer,1,Switzerland,SUI,1,-21,2504,6-3 4-6 6-3 6-4,8-4,66.7% - 33.3%,
