"Osebni avtomobili, avtobusi in tovorna vozila ter prve registracije teh vozil glede na pogon in gorivo, Slovenija, letno"

"LETO";"VRSTA VOZILA";"VRSTA POGONA IN GORIVA";"Število vseh vozil na dan 31. 12."
"2016";"Osebni avtomobili in specialni avtomobili";"Vrsta pogona in goriva - SKUPAJ";1106116
"2016";"Osebni avtomobili in specialni avtomobili";"Elektrièni pogon";457
"2016";"Osebni avtomobili in specialni avtomobili";"Bencin";585369
"2016";"Osebni avtomobili in specialni avtomobili";"Dizel, biodizel in komb., nafta, plinsko olje";508663
"2016";"Osebni avtomobili in specialni avtomobili";"Utekoèinjen naftni plin (LPG) in komb. z bencinom in dizlom";9468
"2016";"Osebni avtomobili in specialni avtomobili";"Stisnjen zemeljski plin (CNG) in komb. z bencinom";163
"2016";"Osebni avtomobili in specialni avtomobili";"Hibridni pogon";1913
"2016";"Osebni avtomobili in specialni avtomobili";"Drugo";83
"2017";"Osebni avtomobili in specialni avtomobili";"Vrsta pogona in goriva - SKUPAJ";1128214
"2017";"Osebni avtomobili in specialni avtomobili";"Elektrièni pogon";780
"2017";"Osebni avtomobili in specialni avtomobili";"Bencin";576405
"2017";"Osebni avtomobili in specialni avtomobili";"Dizel, biodizel in komb., nafta, plinsko olje";537680
"2017";"Osebni avtomobili in specialni avtomobili";"Utekoèinjen naftni plin (LPG) in komb. z bencinom in dizlom";9999
"2017";"Osebni avtomobili in specialni avtomobili";"Stisnjen zemeljski plin (CNG) in komb. z bencinom";225
"2017";"Osebni avtomobili in specialni avtomobili";"Hibridni pogon";3042
"2017";"Osebni avtomobili in specialni avtomobili";"Drugo";83
"2018";"Osebni avtomobili in specialni avtomobili";"Vrsta pogona in goriva - SKUPAJ";1154027
"2018";"Osebni avtomobili in specialni avtomobili";"Elektrièni pogon";1309
"2018";"Osebni avtomobili in specialni avtomobili";"Bencin";572542
"2018";"Osebni avtomobili in specialni avtomobili";"Dizel, biodizel in komb., nafta, plinsko olje";564994
"2018";"Osebni avtomobili in specialni avtomobili";"Utekoèinjen naftni plin (LPG) in komb. z bencinom in dizlom";10246
"2018";"Osebni avtomobili in specialni avtomobili";"Stisnjen zemeljski plin (CNG) in komb. z bencinom";244
"2018";"Osebni avtomobili in specialni avtomobili";"Hibridni pogon";4617
"2018";"Osebni avtomobili in specialni avtomobili";"Drugo";75
"2019";"Osebni avtomobili in specialni avtomobili";"Vrsta pogona in goriva - SKUPAJ";1177115
"2019";"Osebni avtomobili in specialni avtomobili";"Elektrièni pogon";2001
"2019";"Osebni avtomobili in specialni avtomobili";"Bencin";569915
"2019";"Osebni avtomobili in specialni avtomobili";"Dizel, biodizel in komb., nafta, plinsko olje";588134
"2019";"Osebni avtomobili in specialni avtomobili";"Utekoèinjen naftni plin (LPG) in komb. z bencinom in dizlom";9895
"2019";"Osebni avtomobili in specialni avtomobili";"Stisnjen zemeljski plin (CNG) in komb. z bencinom";281
"2019";"Osebni avtomobili in specialni avtomobili";"Hibridni pogon";6816
"2019";"Osebni avtomobili in specialni avtomobili";"Drugo";73
